اسم_تجاري_شائع_في_مصر,المادة_الفعالة,الشكل_الصيدلي_الشائع,التصنيف,الاستخدامات_الشائعة,جرعة_بالغين_عامة,أعراض_جانبية_شائعة,تحذيرات_مختصرة,حالة_الصرف,ملاحظة_للبوت,مصادر_للتحقق
Panadol,Paracetamol / Acetaminophen,أقراص / شراب,مسكن وخافض حرارة,الصداع، آلام الجسم، الحمى، آلام الأسنان البسيطة,غالبًا 500-1000 مجم كل 6-8 ساعات عند اللزوم، بحد أقصى 4 جم يوميًا للبالغين,غثيان نادر، حساسية جلدية نادرة,تجنب تجاوز الجرعة؛ الحذر مع أمراض الكبد أو تناول الكحول أو استخدام أدوية أخرى تحتوي على باراسيتامول,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Maalox,Aluminium hydroxide + Magnesium hydroxide ± Simethicone,شراب / أقراص مضغ,مضاد حموضة,حموضة، عسر هضم، انتفاخ حسب الشكل,حسب النشرة غالبًا بعد الأكل وعند اللزوم,إمساك أو إسهال، طعم طباشيري,افصل ساعتين عن أدوية أخرى؛ الحذر مع أمراض الكلى,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Spasmomen,Otilonium bromide,أقراص,مضاد تقلصات للقولون,تقلصات القولون العصبي وآلام البطن التشنجية,حسب الطبيب/النشرة غالبًا قبل الأكل,غثيان، دوخة، جفاف فم نادر,استبعد أسباب الألم الخطيرة؛ راجع الطبيب مع نزف أو حرارة أو فقدان وزن,بوصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Buscopan,Hyoscine butylbromide,أقراص / حقن,مضاد تقلصات,مغص وتقلصات الجهاز الهضمي أو المرارة/المسالك حسب التشخيص,حسب النشرة/الطبيب؛ الحقن بواسطة مختص,جفاف فم، دوخة، زغللة,الحذر مع الجلوكوما وتضخم البروستاتا وانسداد الأمعاء,بدون وصفة للأقراص/بوصفة للحقن غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Colona,Mebeverine + Sulpiride,أقراص,مضاد تقلصات ومنظم للقولون,أعراض القولون العصبي المصحوبة بتوتر أو تقلصات,حسب وصف الطبيب,نعاس، دوخة، اضطرابات هرمونية نادرة مع السلبرايد,لا يستخدم عشوائيًا؛ الحذر مع أدوية نفسية أو تاريخ اضطرابات هرمونية,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Duspatalin,Mebeverine,أقراص / كبسولات ممتدة,مضاد تقلصات,القولون العصبي والتقلصات المعوية,حسب النشرة/الطبيب، غالبًا قبل الأكل,غثيان، صداع، حساسية نادرة,راجع الطبيب عند أعراض إنذار مثل دم بالبراز أو فقدان وزن,بدون وصفة/بوصفة حسب الصرف,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Motilium,Domperidone,أقراص / شراب,مضاد قيء ومحفز حركة المعدة,غثيان وقيء وبطء تفريغ المعدة حسب التشخيص,يستخدم لأقصر مدة ممكنة حسب الطبيب,جفاف فم، تقلصات، صداع,قد يؤثر على نظم القلب؛ الحذر مع أمراض القلب وبعض المضادات الحيوية/الفطريات,بوصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Primperan,Metoclopramide,أقراص / نقط / حقن,مضاد قيء,الغثيان والقيء حسب السبب,حسب وصف الطبيب؛ الاستخدام قصير المدة,نعاس، أرق، إسهال، أعراض حركية لا إرادية,الحذر في الصرع وباركنسون والأطفال؛ لا يستخدم طويلًا بدون متابعة,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Eucarbon,Activated charcoal + Senna + Sulfur + مكونات نباتية,أقراص,مساعد للهضم وملين خفيف,انتفاخ وإمساك بسيط,حسب النشرة وعند اللزوم,مغص، إسهال، تغير لون البراز,لا يستخدم مع انسداد أمعاء أو لفترات طويلة؛ افصل عن أدوية أخرى,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Duphalac,Lactulose,شراب,ملين أسموزي,الإمساك؛ وأحيانًا حالات كبدية بوصفة,للإمساك حسب النشرة؛ جرعات أمراض الكبد يحددها الطبيب,انتفاخ، غازات، مغص، إسهال عند زيادة الجرعة,اشرب سوائل كافية؛ راجع الطبيب مع ألم شديد أو إمساك مزمن,بدون وصفة/بوصفة حسب الحالة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Smecta,Diosmectite,أكياس,مضاد إسهال ممتص,الإسهال الحاد أو المزمن كمساعد,حسب النشرة؛ مهم تعويض السوائل,إمساك، انتفاخ,لا يغني عن محلول الجفاف؛ راجع الطبيب مع دم بالبراز أو حرارة أو جفاف,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Antinal,Nifuroxazide,كبسولات / شراب,مطهر معوي,إسهال بكتيري غير مصحوب بمضاعفات حسب تقييم الطبيب/الصيدلي,حسب النشرة/الطبيب؛ مع تعويض السوائل,غثيان، ألم بطن، حساسية نادرة,راجع الطبيب عند جفاف، دم بالبراز، حرارة عالية، أو إسهال مستمر,بدون وصفة/بوصفة حسب الصرف,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Flagyl,Metronidazole,أقراص / شراب / حقن,مضاد بكتيري/طفيليات,عدوى لاهوائية وبعض الطفيليات حسب التشخيص,بوصفة فقط؛ تختلف الجرعة حسب نوع العدوى,غثيان، طعم معدني، ألم بطن، صداع,تجنب الكحول أثناء العلاج وبعده فترة؛ أكمل الكورس ولا يستخدم للبرد,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Entocid,Diloxanide furoate + Metronidazole,أقراص,مضاد أميبا/مطهر معوي,الأميبا وبعض العدوى المعوية حسب التحليل/التشخيص,بوصفة فقط وحسب الطبيب,غثيان، طعم معدني، مغص,تجنب الكحول؛ لا يستخدم عشوائيًا أو للأطفال إلا بوصفة,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Imodium,Loperamide,كبسولات,مضاد إسهال,إسهال حاد غير مصحوب بدم أو حرارة,حسب النشرة؛ لا تتجاوز الجرعة المحددة,إمساك، دوخة، انتفاخ,ممنوع عند إسهال دموي أو حرارة عالية أو اشتباه تسمم/عدوى شديدة,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Augmentin,Amoxicillin + Clavulanic acid,أقراص / شراب / حقن,مضاد حيوي بنسلين,التهابات بكتيرية مثل الجيوب، الأسنان، الصدر، الجلد حسب التشخيص,بوصفة فقط؛ الجرعة حسب السن والوزن ونوع العدوى,إسهال، غثيان، طفح، فطريات,لا يستخدم للبرد/الفيروسات؛ أخبر الطبيب عن حساسية البنسلين؛ أكمل الكورس,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Hibiotic,Amoxicillin + Clavulanic acid,أقراص / شراب,مضاد حيوي,عدوى بكتيرية مختلفة حسب قرار الطبيب,بوصفة فقط حسب العدوى والسن والوزن,إسهال، غثيان، طفح,حساسية البنسلين مانع مهم؛ لا يكرر بدون طبيب,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Curam,Amoxicillin + Clavulanic acid,أقراص / شراب,مضاد حيوي,التهابات بكتيرية بالجهاز التنفسي أو الأسنان أو الجلد حسب التشخيص,بوصفة فقط,إسهال، غثيان، ألم بطن، طفح,الحذر مع حساسية البنسلين أو مشاكل كبد سابقة مع الدواء,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Ospamox,Amoxicillin,كبسولات / شراب,مضاد حيوي بنسلين,التهابات بكتيرية حساسة للأموكسيسيلين,بوصفة فقط حسب نوع العدوى,غثيان، إسهال، طفح,ممنوع مع حساسية البنسلين؛ لا يستخدم للفيروسات,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Velosef,Cephalexin,كبسولات / شراب,مضاد حيوي سيفالوسبورين,عدوى جلدية، حلقية، بولية حسب التشخيص,بوصفة فقط حسب العدوى,إسهال، غثيان، طفح,أخبر الطبيب عن حساسية شديدة للبنسلين/السيفالوسبورين,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Zinnat,Cefuroxime axetil,أقراص / شراب,مضاد حيوي سيفالوسبورين,التهابات الجهاز التنفسي، الجيوب، الجلد، البول حسب التشخيص,بوصفة فقط,إسهال، غثيان، صداع,لا يستخدم للبرد؛ أكمل الكورس؛ الحذر مع الحساسية,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Suprax,Cefixime,كبسولات / شراب,مضاد حيوي سيفالوسبورين,عدوى بكتيرية مختارة مثل بعض التهابات الجهاز التنفسي/البول حسب الطبيب,بوصفة فقط,إسهال، غثيان، ألم بطن,الحذر مع حساسية السيفالوسبورين؛ لا يستخدم عشوائيًا,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Zithromax,Azithromycin,أقراص / شراب,مضاد حيوي ماكرولايد,التهابات بكتيرية تنفسية أو جلدية أو تناسلية حسب التشخيص,بوصفة فقط؛ نظام الجرعات يختلف حسب العدوى,غثيان، إسهال، ألم بطن,الحذر مع اضطراب نظم القلب وبعض أدوية القلب؛ لا يستخدم للفيروسات,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Klacid,Clarithromycin,أقراص / شراب,مضاد حيوي ماكرولايد,عدوى تنفسية أو جلدية، وضمن علاج جرثومة المعدة بوصفة,بوصفة فقط,طعم معدني، غثيان، إسهال,تداخلات كثيرة مع أدوية القلب والكوليسترول؛ أخبر الطبيب بكل أدويتك,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Tavanic,Levofloxacin,أقراص / محلول,مضاد حيوي فلوروكينولون,عدوى بكتيرية محددة عندما يقرر الطبيب,بوصفة فقط,غثيان، دوخة، إسهال، ألم أو التهاب أوتار نادر,يُتجنب إلا عند الحاجة؛ الحذر مع الأوتار، القلب، السكر، الحمل,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Ciprofar,Ciprofloxacin,أقراص / نقط,فلوروكينولون,التهابات بولية/معوية أو عدوى أخرى حسب التحليل والتشخيص,بوصفة فقط,غثيان، إسهال، دوخة، حساسية للشمس,الحذر مع الأوتار والقلب والتداخلات؛ لا يستخدم عشوائيًا,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Vibramycin,Doxycycline,كبسولات,مضاد حيوي تتراسيكلين,حب شباب، عدوى تنفسية أو جلدية أو بعض العدوى المنقولة حسب الطبيب,بوصفة فقط,غثيان، حموضة، حساسية للشمس,لا يناسب الحمل والأطفال الصغار غالبًا؛ يؤخذ مع ماء كافٍ ولا يستلقى بعده مباشرة,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Dalacin C,Clindamycin,كبسولات / حقن,مضاد حيوي لينكوساميد,عدوى جلدية، أسنان، عظام أو لاهوائية حسب الطبيب,بوصفة فقط,إسهال، غثيان، طفح,راجع الطبيب فورًا عند إسهال شديد/دموي؛ لا يستخدم دون وصفة,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Macrobid,Nitrofurantoin,كبسولات,مضاد حيوي للمسالك البولية,التهاب المثانة البكتيري غير المعقد حسب الطبيب,بوصفة فقط,غثيان، صداع، تغير لون البول,لا يستخدم مع قصور كلوي شديد؛ ليس لكل أنواع عدوى البول,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Rocephin,Ceftriaxone,حقن,مضاد حيوي سيفالوسبورين,عدوى بكتيرية متوسطة/شديدة حسب الطبيب,يعطى بواسطة مختص وبوصفة,ألم موضع الحقن، إسهال، طفح,لا يستخدم ذاتيًا؛ الحذر مع الحساسية ومشاكل المرارة/الكبد,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Ventolin,Salbutamol / Albuterol,بخاخ / محلول نيبيولايزر,موسع شعب قصير المفعول,أزمات الربو أو ضيق الشعب عند اللزوم,حسب خطة الطبيب؛ غالبًا بخاخة إنقاذ عند اللزوم,رعشة، خفقان، صداع، عصبية,إذا احتجته كثيرًا راجع الطبيب؛ اطلب إسعافًا عند ضيق شديد لا يتحسن,بوصفة/بدون حسب الصرف,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Seretide,Fluticasone + Salmeterol,بخاخ / ديسكس,كورتيزون مستنشق + موسع شعب طويل,السيطرة على الربو/COPD حسب الخطة,يستخدم بانتظام حسب الطبيب وليس لإسعاف الأزمة الحادة,بحة صوت، فطريات فم، خفقان,اغسل الفم بعد الاستخدام؛ لا يوقف فجأة دون طبيب,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Symbicort,Budesonide + Formoterol,بخاخ / تربوهيلر,كورتيزون مستنشق + موسع شعب,السيطرة على الربو/COPD حسب وصف الطبيب,حسب خطة الطبيب؛ قد يستخدم كعلاج منتظم أو نظام محدد,رعشة، خفقان، فطريات فم، بحة,اغسل الفم؛ لا تستخدمه بدل بخاخ الإنقاذ إلا إذا وصف الطبيب ذلك,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Pulmicort,Budesonide,نيبيولايزر / بخاخ,كورتيكوستيرويد مستنشق,التهاب الشعب التحسسي والربو كعلاج وقائي,حسب وصف الطبيب,بحة صوت، فطريات فم، تهيج حلق,اغسل الفم بعد الاستخدام؛ ليس لإسعاف الأزمة الحادة,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Singulair,Montelukast,أقراص / أكياس,مضاد مستقبلات الليكوترين,الربو التحسسي وحساسية الأنف حسب الطبيب,للبالغين غالبًا مرة يوميًا حسب النشرة/الطبيب,صداع، ألم بطن، تغيرات مزاجية نادرة,راقب أي تغيرات نفسية أو كوابيس/اكتئاب وأبلغ الطبيب,بوصفة,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Mucosolvan,Ambroxol,شراب / أقراص,مذيب وطارد بلغم,الكحة المصحوبة ببلغم,حسب النشرة والعمر,غثيان، اضطراب معدة، طفح نادر,راجع الطبيب إذا البلغم مصحوب بدم أو حرارة مستمرة أو ضيق نفس,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Bisolvon,Bromhexine,شراب / أقراص,مذيب بلغم,الكحة ببلغم ولزوجة الإفرازات,حسب النشرة,غثيان، إسهال، تعرق، طفح,اشرب سوائل كافية؛ راجع الطبيب إذا استمرت الكحة أكثر من عدة أيام,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Sinecod,Butamirate,شراب / نقط,مهدئ كحة,الكحة الجافة غير المصحوبة ببلغم,حسب النشرة والعمر,دوخة، غثيان، نعاس خفيف,لا يستخدم مع كحة ببلغم إلا باستشارة؛ راجع الطبيب مع ضيق نفس أو حرارة,بدون وصفة/بوصفة حسب الصرف,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
Bronchicum,Thyme extract + مكونات نباتية حسب الشكل,شراب / استحلاب,مستحضر عشبي للكحة,تهدئة الكحة والمساعدة في طرد البلغم,حسب النشرة,اضطراب معدة أو حساسية نادرة,الحذر مع الحساسية النباتية؛ راجع الطبيب للأطفال أو استمرار الأعراض,بدون وصفة غالبًا,المعلومة تعليمية ولا تغني عن النشرة أو استشارة الطبيب/الصيدلي.,EDA EDDB: https://eservices.edaegypt.gov.eg/EDASearch/SearchRegDrugs.aspx | EDA OTC list: https://edaegypt.gov.eg/media/pdzgaksr/otc-list-11-3-2026.pdf | MedlinePlus: https://medlineplus.gov/druginformation.html | NHS medicines: https://www.nhs.uk/medicines/
